Training ... 
solution loss = 14.343523, solution error = 1.159446, grad_solution error = 1.520550
solution loss = 14.362195, solution error = 1.155630, grad_solution error = 1.519529
solution loss = 14.167388, solution error = 1.152740, grad_solution error = 1.518341
solution loss = 14.168769, solution error = 1.154781, grad_solution error = 1.518067
solution loss = 13.861573, solution error = 1.151909, grad_solution error = 1.517323
solution loss = 13.704798, solution error = 1.145727, grad_solution error = 1.516244
solution loss = 13.583109, solution error = 1.148666, grad_solution error = 1.515885
solution loss = 13.372496, solution error = 1.145845, grad_solution error = 1.514998
solution loss = 13.242521, solution error = 1.142360, grad_solution error = 1.513731
solution loss = 13.113715, solution error = 1.143622, grad_solution error = 1.513356
solution loss = 12.896694, solution error = 1.141827, grad_solution error = 1.512760
solution loss = 12.835268, solution error = 1.142375, grad_solution error = 1.512353
solution loss = 12.779670, solution error = 1.136940, grad_solution error = 1.511319
solution loss = 12.548312, solution error = 1.138239, grad_solution error = 1.510711
solution loss = 12.463475, solution error = 1.133758, grad_solution error = 1.509587
solution loss = 12.287796, solution error = 1.135966, grad_solution error = 1.509530
solution loss = 12.204328, solution error = 1.134959, grad_solution error = 1.508743
solution loss = 12.080690, solution error = 1.129517, grad_solution error = 1.507372
solution loss = 12.031095, solution error = 1.132179, grad_solution error = 1.506943
solution loss = 11.826614, solution error = 1.126342, grad_solution error = 1.505974
solution loss = 11.770671, solution error = 1.124464, grad_solution error = 1.505256
solution loss = 11.666896, solution error = 1.126940, grad_solution error = 1.504863
solution loss = 11.385688, solution error = 1.122796, grad_solution error = 1.503796
solution loss = 11.463907, solution error = 1.120985, grad_solution error = 1.503250
solution loss = 11.260818, solution error = 1.123844, grad_solution error = 1.502947
solution loss = 11.222849, solution error = 1.119140, grad_solution error = 1.501955
solution loss = 11.168288, solution error = 1.121142, grad_solution error = 1.501412
solution loss = 11.086581, solution error = 1.116005, grad_solution error = 1.500427
solution loss = 10.913307, solution error = 1.115642, grad_solution error = 1.499793
solution loss = 10.985229, solution error = 1.111506, grad_solution error = 1.498767
solution loss = 10.727274, solution error = 1.112565, grad_solution error = 1.498269
solution loss = 10.792552, solution error = 1.108911, grad_solution error = 1.497526
solution loss = 10.619060, solution error = 1.108365, grad_solution error = 1.496939
solution loss = 10.475887, solution error = 1.106090, grad_solution error = 1.496292
solution loss = 10.337880, solution error = 1.104215, grad_solution error = 1.495405
solution loss = 10.329849, solution error = 1.107496, grad_solution error = 1.495165
solution loss = 10.220102, solution error = 1.102652, grad_solution error = 1.493974
solution loss = 10.137445, solution error = 1.100890, grad_solution error = 1.493341
solution loss = 10.059180, solution error = 1.102874, grad_solution error = 1.493084
solution loss = 9.959696, solution error = 1.101424, grad_solution error = 1.492539
solution loss = 9.913435, solution error = 1.096617, grad_solution error = 1.491358
solution loss = 9.864399, solution error = 1.097223, grad_solution error = 1.490801
solution loss = 9.718230, solution error = 1.096360, grad_solution error = 1.490227
solution loss = 9.682497, solution error = 1.092394, grad_solution error = 1.488983
solution loss = 9.718014, solution error = 1.089494, grad_solution error = 1.488010
solution loss = 9.692370, solution error = 1.092327, grad_solution error = 1.488036
solution loss = 9.524898, solution error = 1.090340, grad_solution error = 1.487539
solution loss = 9.463279, solution error = 1.084107, grad_solution error = 1.485863
solution loss = 9.292853, solution error = 1.084398, grad_solution error = 1.485277
solution loss = 9.291276, solution error = 1.086551, grad_solution error = 1.485061
solution loss = 9.234699, solution error = 1.080146, grad_solution error = 1.483955
solution loss = 9.098373, solution error = 1.081451, grad_solution error = 1.483674
solution loss = 9.064361, solution error = 1.081948, grad_solution error = 1.483316
solution loss = 9.033202, solution error = 1.081285, grad_solution error = 1.482645
solution loss = 8.932690, solution error = 1.079028, grad_solution error = 1.482012
solution loss = 8.828607, solution error = 1.076544, grad_solution error = 1.481177
solution loss = 8.814795, solution error = 1.075074, grad_solution error = 1.480482
solution loss = 8.861649, solution error = 1.074676, grad_solution error = 1.480284
solution loss = 8.665406, solution error = 1.073059, grad_solution error = 1.479341
solution loss = 8.636405, solution error = 1.072531, grad_solution error = 1.478915
solution loss = 8.505240, solution error = 1.070801, grad_solution error = 1.478196
solution loss = 8.541178, solution error = 1.068869, grad_solution error = 1.477375
solution loss = 8.571890, solution error = 1.066199, grad_solution error = 1.476735
solution loss = 8.410136, solution error = 1.069449, grad_solution error = 1.476794
solution loss = 8.405841, solution error = 1.062125, grad_solution error = 1.475455
solution loss = 8.317476, solution error = 1.064641, grad_solution error = 1.475122
solution loss = 8.307662, solution error = 1.062919, grad_solution error = 1.474314
solution loss = 8.180674, solution error = 1.063816, grad_solution error = 1.474046
solution loss = 8.101171, solution error = 1.060854, grad_solution error = 1.473197
solution loss = 8.097870, solution error = 1.057991, grad_solution error = 1.472287
solution loss = 8.037184, solution error = 1.059488, grad_solution error = 1.472408
solution loss = 7.950026, solution error = 1.057333, grad_solution error = 1.471760
solution loss = 7.928649, solution error = 1.056231, grad_solution error = 1.471222
solution loss = 7.871889, solution error = 1.057501, grad_solution error = 1.470994
solution loss = 7.831241, solution error = 1.053652, grad_solution error = 1.470007
solution loss = 7.765025, solution error = 1.053850, grad_solution error = 1.469561
solution loss = 7.775111, solution error = 1.052524, grad_solution error = 1.469170
solution loss = 7.654065, solution error = 1.050857, grad_solution error = 1.468313
solution loss = 7.672145, solution error = 1.051893, grad_solution error = 1.467807
solution loss = 7.625045, solution error = 1.046158, grad_solution error = 1.466972
solution loss = 7.526388, solution error = 1.049441, grad_solution error = 1.467095
solution loss = 7.495422, solution error = 1.045033, grad_solution error = 1.466167
solution loss = 7.488848, solution error = 1.044997, grad_solution error = 1.465358
solution loss = 7.438775, solution error = 1.046124, grad_solution error = 1.465176
solution loss = 7.346288, solution error = 1.042471, grad_solution error = 1.464486
solution loss = 7.367865, solution error = 1.041378, grad_solution error = 1.463862
solution loss = 7.294899, solution error = 1.040298, grad_solution error = 1.463525
solution loss = 7.219363, solution error = 1.042141, grad_solution error = 1.463032
solution loss = 7.172859, solution error = 1.038360, grad_solution error = 1.462344
solution loss = 7.124489, solution error = 1.036646, grad_solution error = 1.461553
solution loss = 7.086859, solution error = 1.037824, grad_solution error = 1.461270
solution loss = 7.070458, solution error = 1.037211, grad_solution error = 1.460917
solution loss = 6.961971, solution error = 1.033929, grad_solution error = 1.460312
solution loss = 6.951929, solution error = 1.034655, grad_solution error = 1.459691
solution loss = 6.959281, solution error = 1.031347, grad_solution error = 1.459046
solution loss = 6.913203, solution error = 1.031795, grad_solution error = 1.458502
solution loss = 6.821651, solution error = 1.030684, grad_solution error = 1.457660
solution loss = 6.831468, solution error = 1.029488, grad_solution error = 1.457417
solution loss = 6.795690, solution error = 1.028096, grad_solution error = 1.456691
solution loss = 6.704538, solution error = 1.028712, grad_solution error = 1.456525
solution loss = 6.690854, solution error = 1.024080, grad_solution error = 1.455458
solution loss = 6.608256, solution error = 1.023535, grad_solution error = 1.454804
solution loss = 6.568717, solution error = 1.026422, grad_solution error = 1.454613
solution loss = 6.543855, solution error = 1.023047, grad_solution error = 1.454050
solution loss = 6.482991, solution error = 1.023023, grad_solution error = 1.453569
solution loss = 6.492875, solution error = 1.019887, grad_solution error = 1.452859
solution loss = 6.463657, solution error = 1.019850, grad_solution error = 1.452269
solution loss = 6.452880, solution error = 1.020193, grad_solution error = 1.451827
solution loss = 6.388276, solution error = 1.016718, grad_solution error = 1.450689
solution loss = 6.364310, solution error = 1.018147, grad_solution error = 1.450533
solution loss = 6.281212, solution error = 1.015335, grad_solution error = 1.449603
solution loss = 6.260479, solution error = 1.014678, grad_solution error = 1.449023
solution loss = 6.223263, solution error = 1.015426, grad_solution error = 1.448534
solution loss = 6.270486, solution error = 1.012803, grad_solution error = 1.447651
solution loss = 6.172802, solution error = 1.010716, grad_solution error = 1.446914
solution loss = 6.133857, solution error = 1.012509, grad_solution error = 1.446750
solution loss = 6.149843, solution error = 1.008819, grad_solution error = 1.445357
solution loss = 6.090135, solution error = 1.010180, grad_solution error = 1.444924
solution loss = 6.046998, solution error = 1.007683, grad_solution error = 1.444259
solution loss = 6.001253, solution error = 1.006293, grad_solution error = 1.443470
solution loss = 5.926582, solution error = 1.006938, grad_solution error = 1.443325
