Training ... 
solution loss = 13.780159, solution error = 1.248928, grad_solution error = 2.775971
solution loss = 13.520234, solution error = 1.249649, grad_solution error = 2.763985
solution loss = 13.279532, solution error = 1.247535, grad_solution error = 2.750896
solution loss = 13.101603, solution error = 1.247162, grad_solution error = 2.743771
solution loss = 12.803196, solution error = 1.241013, grad_solution error = 2.731072
solution loss = 12.850288, solution error = 1.241450, grad_solution error = 2.718987
solution loss = 12.612180, solution error = 1.246168, grad_solution error = 2.713605
solution loss = 12.334631, solution error = 1.244071, grad_solution error = 2.702199
solution loss = 12.150305, solution error = 1.242792, grad_solution error = 2.693280
solution loss = 11.919348, solution error = 1.241415, grad_solution error = 2.685836
solution loss = 11.803282, solution error = 1.242665, grad_solution error = 2.673738
solution loss = 11.645437, solution error = 1.242176, grad_solution error = 2.663397
solution loss = 11.527813, solution error = 1.239018, grad_solution error = 2.658169
solution loss = 11.315549, solution error = 1.240306, grad_solution error = 2.650209
solution loss = 11.123245, solution error = 1.239543, grad_solution error = 2.642256
solution loss = 10.954536, solution error = 1.239132, grad_solution error = 2.635762
solution loss = 10.855134, solution error = 1.239858, grad_solution error = 2.626344
solution loss = 10.796886, solution error = 1.238040, grad_solution error = 2.617250
solution loss = 10.575085, solution error = 1.239957, grad_solution error = 2.611453
solution loss = 10.476476, solution error = 1.234683, grad_solution error = 2.603221
solution loss = 10.267693, solution error = 1.237830, grad_solution error = 2.593260
solution loss = 10.122295, solution error = 1.236554, grad_solution error = 2.590408
solution loss = 10.107271, solution error = 1.234855, grad_solution error = 2.580115
solution loss = 9.920446, solution error = 1.239276, grad_solution error = 2.573383
solution loss = 9.916118, solution error = 1.234451, grad_solution error = 2.566616
solution loss = 9.617421, solution error = 1.230658, grad_solution error = 2.562978
solution loss = 9.561125, solution error = 1.237815, grad_solution error = 2.557621
solution loss = 9.457109, solution error = 1.234440, grad_solution error = 2.552956
solution loss = 9.403456, solution error = 1.227509, grad_solution error = 2.543291
solution loss = 9.342764, solution error = 1.232466, grad_solution error = 2.538478
solution loss = 9.124751, solution error = 1.230207, grad_solution error = 2.532789
solution loss = 9.052723, solution error = 1.232346, grad_solution error = 2.524141
