Training ... 
solution loss = 1705.315323, solution error = 3.079525, grad_solution error = 1.610024
solution loss = 1625.878326, solution error = 3.074526, grad_solution error = 1.610647
solution loss = 1629.321198, solution error = 3.068006, grad_solution error = 1.610745
solution loss = 1609.896881, solution error = 3.063055, grad_solution error = 1.610761
solution loss = 1611.224274, solution error = 3.058491, grad_solution error = 1.610736
solution loss = 1727.452362, solution error = 3.055043, grad_solution error = 1.610677
solution loss = 1675.279282, solution error = 3.058505, grad_solution error = 1.610643
solution loss = 1703.221069, solution error = 3.120988, grad_solution error = 1.610964
solution loss = 1758.976883, solution error = 3.154410, grad_solution error = 1.611196
solution loss = 1717.935318, solution error = 3.166651, grad_solution error = 1.611382
solution loss = 1696.024567, solution error = 3.169136, grad_solution error = 1.611344
solution loss = 1617.458588, solution error = 3.166357, grad_solution error = 1.611142
solution loss = 1634.191635, solution error = 3.163373, grad_solution error = 1.610944
solution loss = 1836.197769, solution error = 3.157814, grad_solution error = 1.610474
solution loss = 1561.490845, solution error = 3.147024, grad_solution error = 1.609181
solution loss = 1615.247116, solution error = 3.143924, grad_solution error = 1.608659
solution loss = 1668.264893, solution error = 3.141423, grad_solution error = 1.608462
solution loss = 1580.821655, solution error = 3.138944, grad_solution error = 1.608347
solution loss = 1669.451492, solution error = 3.138080, grad_solution error = 1.608355
solution loss = 1696.258240, solution error = 3.138068, grad_solution error = 1.608511
solution loss = 1604.161102, solution error = 3.135373, grad_solution error = 1.608539
solution loss = 1611.422882, solution error = 3.131935, grad_solution error = 1.608521
solution loss = 1662.222336, solution error = 3.129344, grad_solution error = 1.608559
solution loss = 1685.040161, solution error = 3.126900, grad_solution error = 1.608626
solution loss = 1734.528442, solution error = 3.125916, grad_solution error = 1.608664
solution loss = 1721.681198, solution error = 3.122740, grad_solution error = 1.608639
solution loss = 1518.071198, solution error = 3.119723, grad_solution error = 1.608647
solution loss = 1598.886932, solution error = 3.133514, grad_solution error = 1.607835
solution loss = 1594.500153, solution error = 3.145507, grad_solution error = 1.607145
solution loss = 1629.334305, solution error = 3.146812, grad_solution error = 1.606906
solution loss = 1557.511459, solution error = 3.144473, grad_solution error = 1.606749
solution loss = 1606.512970, solution error = 3.142750, grad_solution error = 1.606742
solution loss = 1579.031021, solution error = 3.141152, grad_solution error = 1.606805
solution loss = 1597.399750, solution error = 3.155876, grad_solution error = 1.607034
solution loss = 1607.924225, solution error = 3.169898, grad_solution error = 1.607301
solution loss = 1617.010437, solution error = 3.174018, grad_solution error = 1.607308
solution loss = 1683.569565, solution error = 3.176126, grad_solution error = 1.607269
solution loss = 1687.791245, solution error = 3.174958, grad_solution error = 1.607294
solution loss = 1636.198639, solution error = 3.171145, grad_solution error = 1.607338
solution loss = 1553.938126, solution error = 3.167718, grad_solution error = 1.607391
solution loss = 1732.933640, solution error = 3.164511, grad_solution error = 1.607372
solution loss = 1538.933685, solution error = 3.161135, grad_solution error = 1.607255
solution loss = 1655.016739, solution error = 3.156979, grad_solution error = 1.607174
solution loss = 1610.725494, solution error = 3.154543, grad_solution error = 1.607105
solution loss = 1591.296310, solution error = 3.152297, grad_solution error = 1.607050
solution loss = 1537.934326, solution error = 3.149090, grad_solution error = 1.607070
solution loss = 1614.890839, solution error = 3.145699, grad_solution error = 1.607204
solution loss = 1577.274887, solution error = 3.142616, grad_solution error = 1.607366
solution loss = 1656.765884, solution error = 3.141259, grad_solution error = 1.607325
solution loss = 1611.734528, solution error = 3.140647, grad_solution error = 1.607179
solution loss = 1595.536453, solution error = 3.138611, grad_solution error = 1.607029
solution loss = 1528.679977, solution error = 3.135106, grad_solution error = 1.606908
solution loss = 1550.040253, solution error = 3.133827, grad_solution error = 1.606895
solution loss = 1639.533691, solution error = 3.131423, grad_solution error = 1.606799
solution loss = 1550.702728, solution error = 3.127093, grad_solution error = 1.606745
solution loss = 1630.513748, solution error = 3.123798, grad_solution error = 1.606718
solution loss = 1632.446655, solution error = 3.121545, grad_solution error = 1.606703
